Year,Country,GDP,Social_Support,Life_Expectancy,Freedom,Happiness_Score
2017,Montenegro,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,5.23699998855591
2017,Morocco,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,5.2350001335144
2017,Azerbaijan,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,5.23400020599365
2017,Dominican Republic,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,5.23000001907349
2017,Greece,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,5.22700023651123
2017,Lebanon,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,5.22499990463257
2017,Portugal,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,5.19500017166138
2017,Bosnia and Herzegovina,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,5.18200016021729
2017,Honduras,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,5.18100023269653
2017,Macedonia,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,5.17500019073486
2017,Somalia,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,5.15100002288818
2017,Vietnam,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,5.07399988174438
2017,Nigeria,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,5.07399988174438
2017,Tajikistan,0.524713635444641,1.27146327495575,0.529235124588013,0.471566706895828,5.04099988937378
2017,Bhutan,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,5.01100015640259
2017,Kyrgyzstan,0.596220076084137,1.39423859119415,0.553457796573639,0.454943388700485,5.00400018692017
2017,Nepal,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,4.96199989318848
2017,Mongolia,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,4.95499992370605
2017,South Africa,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,4.8289999961853
2017,Tunisia,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,4.80499982833862
2017,Palestinian Territories,0.716249227523804,1.15564715862274,0.565666973590851,0.25471106171608,4.77500009536743
2017,Egypt,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,4.7350001335144
2017,Bulgaria,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,4.71400022506714
